game_id,game_date,away_team,home_team,away_score,home_score,winner,first_seen
401816141,2026-07-17,Chicago White Sox,Toronto Blue Jays,12,4,Chicago White Sox,2026-09-15
401816142,2026-07-17,Los Angeles Dodgers,New York Yankees,2,1,Los Angeles Dodgers,2026-09-15
401816146,2026-07-17,Texas Rangers,Atlanta Braves,1,15,Atlanta Braves,2026-09-15
401816147,2026-07-17,Baltimore Orioles,Houston Astros,3,2,Baltimore Orioles,2026-09-15
401816148,2026-07-17,Miami Marlins,Milwaukee Brewers,1,2,Milwaukee Brewers,2026-09-15
401816149,2026-07-17,Minnesota Twins,Chicago Cubs,5,2,Minnesota Twins,2026-09-15
401816150,2026-07-17,San Diego Padres,Kansas City Royals,6,7,Kansas City Royals,2026-09-15
401816151,2026-07-17,Cincinnati Reds,Colorado Rockies,7,2,Cincinnati Reds,2026-09-15
401816152,2026-07-17,Detroit Tigers,Los Angeles Angels,2,1,Detroit Tigers,2026-09-15
401816153,2026-07-17,San Francisco Giants,Seattle Mariners,7,0,San Francisco Giants,2026-09-15
401816154,2026-07-17,St. Louis Cardinals,Arizona Diamondbacks,5,4,St. Louis Cardinals,2026-09-15
401816155,2026-07-17,Washington Nationals,Athletics,23,4,Washington Nationals,2026-09-15
401872178,2026-07-17,Tampa Bay Rays,Boston Red Sox,0,10,Boston Red Sox,2026-09-15
401816156,2026-07-18,Chicago White Sox,Toronto Blue Jays,0,1,Toronto Blue Jays,2026-09-15
401816158,2026-07-18,New York Mets,Philadelphia Phillies,1,6,Philadelphia Phillies,2026-09-15
401816160,2026-07-18,Tampa Bay Rays,Boston Red Sox,6,7,Boston Red Sox,2026-09-15
401816161,2026-07-18,Texas Rangers,Atlanta Braves,7,6,Texas Rangers,2026-09-15
401816162,2026-07-18,Baltimore Orioles,Houston Astros,4,2,Baltimore Orioles,2026-09-15
401816163,2026-07-18,Miami Marlins,Milwaukee Brewers,6,8,Milwaukee Brewers,2026-09-15
401816164,2026-07-18,Minnesota Twins,Chicago Cubs,2,6,Chicago Cubs,2026-09-15
401816165,2026-07-18,San Diego Padres,Kansas City Royals,1,6,Kansas City Royals,2026-09-15
401816166,2026-07-18,Cincinnati Reds,Colorado Rockies,3,10,Colorado Rockies,2026-09-15
401816167,2026-07-18,Detroit Tigers,Los Angeles Angels,7,0,Detroit Tigers,2026-09-15
401816168,2026-07-18,San Francisco Giants,Seattle Mariners,3,4,Seattle Mariners,2026-09-15
401816169,2026-07-18,St. Louis Cardinals,Arizona Diamondbacks,3,5,Arizona Diamondbacks,2026-09-15
401816170,2026-07-18,Washington Nationals,Athletics,1,15,Athletics,2026-09-15
401896568,2026-07-18,Pittsburgh Pirates,Cleveland Guardians,7,1,Pittsburgh Pirates,2026-09-15
401816171,2026-07-19,Chicago White Sox,Toronto Blue Jays,3,0,Chicago White Sox,2026-09-15
401816173,2026-07-19,New York Mets,Philadelphia Phillies,6,1,New York Mets,2026-09-15
401816174,2026-07-19,Pittsburgh Pirates,Cleveland Guardians,7,1,Pittsburgh Pirates,2026-09-15
401816175,2026-07-19,Tampa Bay Rays,Boston Red Sox,1,6,Boston Red Sox,2026-09-15
401816176,2026-07-19,Texas Rangers,Atlanta Braves,5,8,Atlanta Braves,2026-09-15
401816177,2026-07-19,Baltimore Orioles,Houston Astros,5,2,Baltimore Orioles,2026-09-15
401816178,2026-07-19,Miami Marlins,Milwaukee Brewers,1,3,Milwaukee Brewers,2026-09-15
401816179,2026-07-19,Minnesota Twins,Chicago Cubs,1,10,Chicago Cubs,2026-09-15
401816180,2026-07-19,San Diego Padres,Kansas City Royals,19,2,San Diego Padres,2026-09-15
401816181,2026-07-19,Cincinnati Reds,Colorado Rockies,9,6,Cincinnati Reds,2026-09-15
401816182,2026-07-19,Detroit Tigers,Los Angeles Angels,2,3,Los Angeles Angels,2026-09-15
401816183,2026-07-19,San Francisco Giants,Seattle Mariners,3,6,Seattle Mariners,2026-09-15
401816184,2026-07-19,St. Louis Cardinals,Arizona Diamondbacks,7,8,Arizona Diamondbacks,2026-09-15
401816185,2026-07-19,Washington Nationals,Athletics,5,2,Washington Nationals,2026-09-15
401897386,2026-07-19,Los Angeles Dodgers,New York Yankees,8,2,Los Angeles Dodgers,2026-09-15
401816186,2026-07-20,Baltimore Orioles,Boston Red Sox,5,6,Boston Red Sox,2026-09-15
401816187,2026-07-20,Los Angeles Dodgers,Philadelphia Phillies,7,10,Philadelphia Phillies,2026-09-15
401816188,2026-07-20,Minnesota Twins,Cleveland Guardians,4,13,Cleveland Guardians,2026-09-15
401816189,2026-07-20,Pittsburgh Pirates,New York Yankees,5,8,New York Yankees,2026-09-15
401816190,2026-07-20,San Diego Padres,Atlanta Braves,2,3,Atlanta Braves,2026-09-15
401816191,2026-07-20,Tampa Bay Rays,Toronto Blue Jays,7,1,Tampa Bay Rays,2026-09-15
401816192,2026-07-20,Chicago White Sox,Texas Rangers,10,3,Chicago White Sox,2026-09-15
401816193,2026-07-20,Detroit Tigers,Chicago Cubs,8,6,Detroit Tigers,2026-09-15
401816194,2026-07-20,Miami Marlins,Houston Astros,5,8,Houston Astros,2026-09-15
401816195,2026-07-20,New York Mets,Milwaukee Brewers,3,8,Milwaukee Brewers,2026-09-15
401816196,2026-07-20,San Francisco Giants,Kansas City Royals,3,4,Kansas City Royals,2026-09-15
401816197,2026-07-20,Washington Nationals,Colorado Rockies,7,3,Washington Nationals,2026-09-15
401816198,2026-07-20,Athletics,Arizona Diamondbacks,5,2,Athletics,2026-09-15
401816199,2026-07-20,Cincinnati Reds,Seattle Mariners,0,8,Seattle Mariners,2026-09-15
401816200,2026-07-20,St. Louis Cardinals,Los Angeles Angels,2,3,Los Angeles Angels,2026-09-15
401816202,2026-07-21,Los Angeles Dodgers,Philadelphia Phillies,2,1,Los Angeles Dodgers,2026-09-15
401816203,2026-07-21,Minnesota Twins,Cleveland Guardians,2,5,Cleveland Guardians,2026-09-15
401816205,2026-07-21,San Diego Padres,Atlanta Braves,8,3,San Diego Padres,2026-09-15
401816206,2026-07-21,Tampa Bay Rays,Toronto Blue Jays,12,2,Tampa Bay Rays,2026-09-15
401816207,2026-07-21,Chicago White Sox,Texas Rangers,0,10,Texas Rangers,2026-09-15
401816208,2026-07-21,Detroit Tigers,Chicago Cubs,2,11,Chicago Cubs,2026-09-15
401816209,2026-07-21,Miami Marlins,Houston Astros,3,5,Houston Astros,2026-09-15
401816210,2026-07-21,New York Mets,Milwaukee Brewers,4,0,New York Mets,2026-09-15
401816211,2026-07-21,San Francisco Giants,Kansas City Royals,2,3,Kansas City Royals,2026-09-15
401816212,2026-07-21,Washington Nationals,Colorado Rockies,7,8,Colorado Rockies,2026-09-15
401816213,2026-07-21,Athletics,Arizona Diamondbacks,5,6,Arizona Diamondbacks,2026-09-15
401816214,2026-07-21,Cincinnati Reds,Seattle Mariners,4,2,Cincinnati Reds,2026-09-15
401816215,2026-07-21,St. Louis Cardinals,Los Angeles Angels,1,5,Los Angeles Angels,2026-09-15
401816217,2026-07-22,Los Angeles Dodgers,Philadelphia Phillies,9,5,Los Angeles Dodgers,2026-09-15
401816218,2026-07-22,Minnesota Twins,Cleveland Guardians,10,6,Minnesota Twins,2026-09-15
401816219,2026-07-22,Pittsburgh Pirates,New York Yankees,5,3,Pittsburgh Pirates,2026-09-15
401816220,2026-07-22,San Diego Padres,Atlanta Braves,6,7,Atlanta Braves,2026-09-15
401816221,2026-07-22,Tampa Bay Rays,Toronto Blue Jays,4,2,Tampa Bay Rays,2026-09-15
401816222,2026-07-22,Chicago White Sox,Texas Rangers,4,2,Chicago White Sox,2026-09-15
401816223,2026-07-22,Detroit Tigers,Chicago Cubs,5,1,Detroit Tigers,2026-09-15
401816224,2026-07-22,Miami Marlins,Houston Astros,2,5,Houston Astros,2026-09-15
401816225,2026-07-22,New York Mets,Milwaukee Brewers,3,4,Milwaukee Brewers,2026-09-15
401816226,2026-07-22,San Francisco Giants,Kansas City Royals,4,5,Kansas City Royals,2026-09-15
401816227,2026-07-22,Washington Nationals,Colorado Rockies,8,0,Washington Nationals,2026-09-15
401816228,2026-07-22,Athletics,Arizona Diamondbacks,5,15,Arizona Diamondbacks,2026-09-15
401816229,2026-07-22,Cincinnati Reds,Seattle Mariners,5,3,Cincinnati Reds,2026-09-15
401816230,2026-07-22,St. Louis Cardinals,Los Angeles Angels,1,0,St. Louis Cardinals,2026-09-15
401898715,2026-07-22,Baltimore Orioles,Boston Red Sox,3,6,Boston Red Sox,2026-09-15
401816231,2026-07-23,Kansas City Royals,Detroit Tigers,3,4,Detroit Tigers,2026-09-15
401816232,2026-07-23,Minnesota Twins,Cleveland Guardians,3,1,Minnesota Twins,2026-09-15
401816233,2026-07-23,San Diego Padres,Atlanta Braves,5,6,Atlanta Braves,2026-09-15
401816234,2026-07-23,Tampa Bay Rays,Toronto Blue Jays,1,3,Toronto Blue Jays,2026-09-15
401881162,2026-07-23,Arizona Diamondbacks,St. Louis Cardinals,10,6,Arizona Diamondbacks,2026-09-15
401816235,2026-07-24,Arizona Diamondbacks,Washington Nationals,3,2,Arizona Diamondbacks,2026-09-15
401816236,2026-07-24,Atlanta Braves,Baltimore Orioles,7,6,Atlanta Braves,2026-09-15
401816237,2026-07-24,Chicago Cubs,Pittsburgh Pirates,3,2,Chicago Cubs,2026-09-15
401816238,2026-07-24,Cleveland Guardians,Tampa Bay Rays,3,11,Tampa Bay Rays,2026-09-15
401816239,2026-07-24,Kansas City Royals,Detroit Tigers,1,2,Detroit Tigers,2026-09-15
401816240,2026-07-24,Los Angeles Dodgers,New York Mets,4,2,Los Angeles Dodgers,2026-09-15
401816241,2026-07-24,New York Yankees,Philadelphia Phillies,1,0,New York Yankees,2026-09-15
401816242,2026-07-24,San Diego Padres,Miami Marlins,4,2,San Diego Padres,2026-09-15
401816243,2026-07-24,Toronto Blue Jays,Boston Red Sox,4,6,Boston Red Sox,2026-09-15
401816244,2026-07-24,Athletics,Minnesota Twins,2,0,Athletics,2026-09-15
401816245,2026-07-24,Cincinnati Reds,St. Louis Cardinals,4,2,Cincinnati Reds,2026-09-15
401816246,2026-07-24,Colorado Rockies,Milwaukee Brewers,5,2,Colorado Rockies,2026-09-15
401816247,2026-07-24,Houston Astros,Chicago White Sox,9,5,Houston Astros,2026-09-15
401816248,2026-07-24,Seattle Mariners,Texas Rangers,4,5,Texas Rangers,2026-09-15
401816249,2026-07-24,Los Angeles Angels,San Francisco Giants,6,7,San Francisco Giants,2026-09-15
