game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401816141,2026-07-17,Chicago White Sox,Toronto Blue Jays,2026-09-15T20:49:23Z,3,0,0,0.5455,0.5431,0.5319,0.5482,,Toronto Blue Jays,12,4,Chicago White Sox,1,0
401816142,2026-07-17,Los Angeles Dodgers,New York Yankees,2026-09-15T20:49:23Z,3,0,0,0.5284,0.5431,0.5319,0.5238,,New York Yankees,2,1,Los Angeles Dodgers,1,0
401816146,2026-07-17,Texas Rangers,Atlanta Braves,2026-09-15T20:49:23Z,3,0,0,0.6077,0.5431,0.5319,0.636,,Atlanta Braves,1,15,Atlanta Braves,1,1
401816147,2026-07-17,Baltimore Orioles,Houston Astros,2026-09-15T20:49:23Z,3,0,0,0.5529,0.5431,0.5319,0.5588,,Houston Astros,3,2,Baltimore Orioles,1,0
401816148,2026-07-17,Miami Marlins,Milwaukee Brewers,2026-09-15T20:49:23Z,3,0,0,0.6317,0.5431,0.5319,0.669,,Milwaukee Brewers,1,2,Milwaukee Brewers,1,1
401816149,2026-07-17,Minnesota Twins,Chicago Cubs,2026-09-15T20:49:23Z,3,0,0,0.594,0.5431,0.5319,0.6169,,Chicago Cubs,5,2,Minnesota Twins,1,0
401816150,2026-07-17,San Diego Padres,Kansas City Royals,2026-09-15T20:49:23Z,3,0,0,0.4388,0.5431,0.5319,0.3968,,San Diego Padres,6,7,Kansas City Royals,1,0
401816151,2026-07-17,Cincinnati Reds,Colorado Rockies,2026-09-15T20:49:23Z,3,0,0,0.4268,0.5431,0.5319,0.3802,,Cincinnati Reds,7,2,Cincinnati Reds,1,1
401816152,2026-07-17,Detroit Tigers,Los Angeles Angels,2026-09-15T20:49:23Z,3,0,0,0.463,0.5431,0.5319,0.4307,,Detroit Tigers,2,1,Detroit Tigers,1,1
401816153,2026-07-17,San Francisco Giants,Seattle Mariners,2026-09-15T20:49:23Z,3,0,0,0.5907,0.5431,0.5319,0.6123,,Seattle Mariners,7,0,San Francisco Giants,1,0
401816154,2026-07-17,St. Louis Cardinals,Arizona Diamondbacks,2026-09-15T20:49:23Z,3,0,0,0.5715,0.5431,0.5319,0.5852,,Arizona Diamondbacks,5,4,St. Louis Cardinals,1,0
401816155,2026-07-17,Washington Nationals,Athletics,2026-09-15T20:49:23Z,3,0,0,0.5103,0.5431,0.5319,0.4979,,Athletics,23,4,Washington Nationals,1,0
401872178,2026-07-17,Tampa Bay Rays,Boston Red Sox,2026-09-15T20:49:23Z,3,0,0,0.4932,0.5431,0.5319,0.4735,,Tampa Bay Rays,0,10,Boston Red Sox,1,0
401816156,2026-07-18,Chicago White Sox,Toronto Blue Jays,2026-09-15T20:49:23Z,3,0,0,0.5415,0.5344,0.7615,0.5482,,Toronto Blue Jays,0,1,Toronto Blue Jays,1,1
401816158,2026-07-18,New York Mets,Philadelphia Phillies,2026-09-15T20:49:23Z,3,0,0,0.6156,0.5431,0.5319,0.6469,,Philadelphia Phillies,1,6,Philadelphia Phillies,1,1
401816160,2026-07-18,Tampa Bay Rays,Boston Red Sox,2026-09-15T20:49:23Z,3,0,0,0.4983,0.5504,0.2484,0.4735,,Tampa Bay Rays,6,7,Boston Red Sox,1,0
401816161,2026-07-18,Texas Rangers,Atlanta Braves,2026-09-15T20:49:23Z,3,0,0,0.6079,0.5504,0.0997,0.636,,Atlanta Braves,7,6,Texas Rangers,1,0
401816162,2026-07-18,Baltimore Orioles,Houston Astros,2026-09-15T20:49:23Z,3,0,0,0.5486,0.5344,0.4677,0.5588,,Houston Astros,4,2,Baltimore Orioles,1,0
401816163,2026-07-18,Miami Marlins,Milwaukee Brewers,2026-09-15T20:49:23Z,3,0,0,0.631,0.5504,0.663,0.669,,Milwaukee Brewers,6,8,Milwaukee Brewers,1,1
401816164,2026-07-18,Minnesota Twins,Chicago Cubs,2026-09-15T20:49:23Z,3,0,0,0.5881,0.5344,0.4831,0.6169,,Chicago Cubs,2,6,Chicago Cubs,1,1
401816165,2026-07-18,San Diego Padres,Kansas City Royals,2026-09-15T20:49:23Z,3,0,0,0.446,0.5504,0.5178,0.3968,,San Diego Padres,1,6,Kansas City Royals,1,0
401816166,2026-07-18,Cincinnati Reds,Colorado Rockies,2026-09-15T20:49:23Z,3,0,0,0.4277,0.5344,0.5695,0.3802,,Cincinnati Reds,3,10,Colorado Rockies,1,0
401816167,2026-07-18,Detroit Tigers,Los Angeles Angels,2026-09-15T20:49:23Z,3,0,0,0.4624,0.5344,0.3951,0.4307,,Detroit Tigers,7,0,Detroit Tigers,1,1
401816168,2026-07-18,San Francisco Giants,Seattle Mariners,2026-09-15T20:49:23Z,3,0,0,0.585,0.5344,0.6348,0.6123,,Seattle Mariners,3,4,Seattle Mariners,1,1
401816169,2026-07-18,St. Louis Cardinals,Arizona Diamondbacks,2026-09-15T20:49:23Z,3,0,0,0.5665,0.5344,0.5229,0.5852,,Arizona Diamondbacks,3,5,Arizona Diamondbacks,1,1
401816170,2026-07-18,Washington Nationals,Athletics,2026-09-15T20:49:23Z,3,0,0,0.5077,0.5344,0.9799,0.4979,,Athletics,1,15,Athletics,1,1
401896568,2026-07-18,Pittsburgh Pirates,Cleveland Guardians,2026-09-15T20:49:23Z,3,0,0,0.5671,0.5431,0.5319,0.579,,Cleveland Guardians,7,1,Pittsburgh Pirates,1,0
401816171,2026-07-19,Chicago White Sox,Toronto Blue Jays,2026-09-15T20:49:23Z,3,0,0,0.5444,0.5418,0.509,0.5482,,Toronto Blue Jays,3,0,Chicago White Sox,1,0
401816173,2026-07-19,New York Mets,Philadelphia Phillies,2026-09-15T20:49:23Z,3,0,0,0.6155,0.5504,0.5326,0.6469,,Philadelphia Phillies,6,1,New York Mets,1,0
401816174,2026-07-19,Pittsburgh Pirates,Cleveland Guardians,2026-09-15T20:49:23Z,3,0,0,0.5623,0.5344,0.59,0.579,,Cleveland Guardians,7,1,Pittsburgh Pirates,1,0
401816175,2026-07-19,Tampa Bay Rays,Boston Red Sox,2026-09-15T20:49:23Z,3,0,0,0.5039,0.5575,0.476,0.4735,,Boston Red Sox,1,6,Boston Red Sox,1,1
401816176,2026-07-19,Texas Rangers,Atlanta Braves,2026-09-15T20:49:23Z,3,0,0,0.6014,0.5416,0.3798,0.636,,Atlanta Braves,5,8,Atlanta Braves,1,1
401816177,2026-07-19,Baltimore Orioles,Houston Astros,2026-09-15T20:49:23Z,3,0,0,0.5437,0.5258,0.4323,0.5588,,Houston Astros,5,2,Baltimore Orioles,1,0
401816178,2026-07-19,Miami Marlins,Milwaukee Brewers,2026-09-15T20:49:23Z,3,0,0,0.6307,0.5575,0.5729,0.669,,Milwaukee Brewers,1,3,Milwaukee Brewers,1,1
401816179,2026-07-19,Minnesota Twins,Chicago Cubs,2026-09-15T20:49:23Z,3,0,0,0.5889,0.5418,0.527,0.6169,,Chicago Cubs,1,10,Chicago Cubs,1,1
