game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,replay,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401902644,2026-10-03,Miami Heat,Toronto Raptors,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Toronto Raptors,,,,0,
401914127,2026-10-04,Utah Jazz,Denver Nuggets,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Denver Nuggets,,,,0,
401918010,2026-10-04,Golden State Warriors,LA Clippers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,LA Clippers,,,,0,
401898388,2026-10-05,Memphis Grizzlies,Atlanta Hawks,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Atlanta Hawks,,,,0,
401898716,2026-10-05,Los Angeles Lakers,Sacramento Kings,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Sacramento Kings,,,,0,
401908947,2026-10-05,Phoenix Suns,Detroit Pistons,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Detroit Pistons,,,,0,
401914101,2026-10-05,New York Knicks,Philadelphia 76ers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Philadelphia 76ers,,,,0,
401914102,2026-10-05,Minnesota Timberwolves,Milwaukee Bucks,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Milwaukee Bucks,,,,0,
401898389,2026-10-06,New Orleans Pelicans,Oklahoma City Thunder,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Oklahoma City Thunder,,,,0,
401898390,2026-10-06,Los Angeles Lakers,Golden State Warriors,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Golden State Warriors,,,,0,
401901820,2026-10-06,Brooklyn Nets,Charlotte Hornets,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Charlotte Hornets,,,,0,
401914128,2026-10-06,Denver Nuggets,Utah Jazz,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Utah Jazz,,,,0,
401898391,2026-10-07,Orlando Magic,Memphis Grizzlies,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Memphis Grizzlies,,,,0,
401908620,2026-10-07,Milwaukee Bucks,Oklahoma City Thunder,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Oklahoma City Thunder,,,,0,
401908939,2026-10-07,Phoenix Suns,Chicago Bulls,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Chicago Bulls,,,,0,
401914123,2026-10-07,Minnesota Timberwolves,Indiana Pacers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Indiana Pacers,,,,0,
401914129,2026-10-07,Golden State Warriors,Portland Trail Blazers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Portland Trail Blazers,,,,0,
401898392,2026-10-08,Boston Celtics,Cleveland Cavaliers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Cleveland Cavaliers,,,,0,
401898393,2026-10-08,New Orleans Pelicans,Miami Heat,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Miami Heat,,,,0,
401898394,2026-10-08,Atlanta Hawks,San Antonio Spurs,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,San Antonio Spurs,,,,0,
401898717,2026-10-08,Sacramento Kings,Los Angeles Lakers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Los Angeles Lakers,,,,0,
401901823,2026-10-08,Philadelphia 76ers,Brooklyn Nets,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Brooklyn Nets,,,,0,
401906508,2026-10-08,Washington Wizards,New York Knicks,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,New York Knicks,,,,0,
401898395,2026-10-09,Houston Rockets,Dallas Mavericks,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Dallas Mavericks,,,,0,
401908940,2026-10-09,Memphis Grizzlies,Chicago Bulls,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Chicago Bulls,,,,0,
401898396,2026-10-10,Atlanta Hawks,Indiana Pacers,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Indiana Pacers,,,,0,
401898397,2026-10-10,Minnesota Timberwolves,Miami Heat,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Miami Heat,,,,0,
401898398,2026-10-10,Philadelphia 76ers,Boston Celtics,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Boston Celtics,,,,0,
401898399,2026-10-10,Sacramento Kings,Golden State Warriors,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Golden State Warriors,,,,0,
401898720,2026-10-10,San Antonio Spurs,Phoenix Suns,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Phoenix Suns,,,,0,
401902645,2026-10-10,LA Clippers,Toronto Raptors,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Toronto Raptors,,,,0,
401906510,2026-10-10,Detroit Pistons,Washington Wizards,2026-09-26T05:30:22Z,3,1,1,,0.5752,0.5883,,0.5695,,Washington Wizards,,,,0,
