game_id,game_date,away_team,home_team,predicted_at,model_version,pregame,preseason,p_final,p_elo,p_glm,p_prior,starter_edge,favored_team,away_score,home_score,winner,graded,correct
401873271,2026-08-06,Carolina Panthers,Arizona Cardinals,2026-09-15T20:49:23Z,3,0,1,0.6349,0.5686,,0.6619,,Arizona Cardinals,,,,0,
401873272,2026-08-13,Detroit Lions,Cincinnati Bengals,2026-09-15T20:49:23Z,3,0,1,0.4827,0.5686,,0.4459,,Detroit Lions,,,,0,
401873273,2026-08-13,Indianapolis Colts,New England Patriots,2026-09-15T20:49:23Z,3,0,1,0.4715,0.5686,,0.4301,,Indianapolis Colts,,,,0,
401873274,2026-08-13,Los Angeles Chargers,Houston Texans,2026-09-15T20:49:23Z,3,0,1,0.4804,0.5686,,0.4427,,Los Angeles Chargers,,,,0,
401873275,2026-08-13,Green Bay Packers,Pittsburgh Steelers,2026-09-15T20:49:23Z,3,0,1,0.6452,0.5686,,0.6761,,Pittsburgh Steelers,,,,0,
401873640,2026-08-13,Arizona Cardinals,Las Vegas Raiders,2026-09-15T20:49:23Z,3,0,1,0.4861,0.5686,,0.4507,,Arizona Cardinals,,,,0,
401874392,2026-08-13,Tennessee Titans,San Francisco 49ers,2026-09-15T20:49:23Z,3,0,1,0.6359,0.5686,,0.6633,,San Francisco 49ers,,,,0,
401873276,2026-08-14,Tampa Bay Buccaneers,New York Jets,2026-09-15T20:49:23Z,3,0,1,0.6503,0.5686,,0.683,,New York Jets,,,,0,
401873277,2026-08-14,Miami Dolphins,Washington Commanders,2026-09-15T20:49:23Z,3,0,1,0.4749,0.5686,,0.4349,,Miami Dolphins,,,,0,
401873278,2026-08-14,Denver Broncos,Atlanta Falcons,2026-09-15T20:49:23Z,3,0,1,0.4726,0.5686,,0.4317,,Denver Broncos,,,,0,
401873279,2026-08-15,Dallas Cowboys,Seattle Seahawks,2026-09-15T20:49:23Z,3,0,1,0.6584,0.5686,,0.694,,Seattle Seahawks,,,,0,
401873280,2026-08-15,Minnesota Vikings,New York Giants,2026-09-15T20:49:23Z,3,0,1,0.4984,0.5686,,0.4682,,Minnesota Vikings,,,,0,
401873281,2026-08-15,Jacksonville Jaguars,New Orleans Saints,2026-09-15T20:49:23Z,3,0,1,0.3347,0.5686,,0.2498,,Jacksonville Jaguars,,,,0,
401873282,2026-08-15,Carolina Panthers,Buffalo Bills,2026-09-15T20:49:23Z,3,0,1,0.6421,0.5686,,0.6718,,Buffalo Bills,,,,0,
401873283,2026-08-15,Los Angeles Rams,Kansas City Chiefs,2026-09-15T20:49:23Z,3,0,1,0.6276,0.5686,,0.6518,,Kansas City Chiefs,,,,0,
401873284,2026-08-15,Philadelphia Eagles,Baltimore Ravens,2026-09-15T20:49:23Z,3,0,1,0.4704,0.5686,,0.4286,,Philadelphia Eagles,,,,0,
401874393,2026-08-15,Cleveland Browns,Chicago Bears,2026-09-15T20:49:23Z,3,0,1,0.6223,0.5686,,0.6445,,Chicago Bears,,,,0,
401873285,2026-08-20,San Francisco 49ers,Los Angeles Chargers,2026-09-15T20:49:23Z,3,0,1,0.3418,0.5686,,0.2583,,San Francisco 49ers,,,,0,
401873286,2026-08-20,Las Vegas Raiders,Houston Texans,2026-09-15T20:49:23Z,3,0,1,0.3288,0.5686,,0.2427,,Las Vegas Raiders,,,,0,
401873287,2026-08-21,Carolina Panthers,Jacksonville Jaguars,2026-09-15T20:49:23Z,3,0,1,0.6223,0.5686,,0.6445,,Jacksonville Jaguars,,,,0,
401873288,2026-08-21,New York Jets,Pittsburgh Steelers,2026-09-15T20:49:23Z,3,0,1,0.4951,0.5686,,0.4634,,New York Jets,,,,0,
401873613,2026-08-21,Green Bay Packers,Denver Broncos,2026-09-15T20:49:23Z,3,0,1,0.4928,0.5686,,0.4602,,Green Bay Packers,,,,0,
401873289,2026-08-22,Chicago Bears,Cincinnati Bengals,2026-09-15T20:49:23Z,3,0,1,0.5062,0.5686,,0.4793,,Cincinnati Bengals,,,,0,
401873290,2026-08-22,New Orleans Saints,Los Angeles Rams,2026-09-15T20:49:23Z,3,0,1,0.5096,0.5686,,0.4841,,Los Angeles Rams,,,,0,
401873291,2026-08-22,Baltimore Ravens,Minnesota Vikings,2026-09-15T20:49:23Z,3,0,1,0.4894,0.5686,,0.4554,,Baltimore Ravens,,,,0,
401873292,2026-08-22,New York Giants,Miami Dolphins,2026-09-15T20:49:23Z,3,0,1,0.3317,0.5686,,0.2462,,New York Giants,,,,0,
401873293,2026-08-22,Philadelphia Eagles,New England Patriots,2026-09-15T20:49:23Z,3,0,1,0.3151,0.5686,,0.2266,,Philadelphia Eagles,,,,0,
401873294,2026-08-22,Buffalo Bills,Cleveland Browns,2026-09-15T20:49:23Z,3,0,1,0.3387,0.5686,,0.2546,,Buffalo Bills,,,,0,
401873295,2026-08-22,Atlanta Falcons,Indianapolis Colts,2026-09-15T20:49:23Z,3,0,1,0.5007,0.5686,,0.4714,,Indianapolis Colts,,,,0,
401873296,2026-08-22,Kansas City Chiefs,Tampa Bay Buccaneers,2026-09-15T20:49:23Z,3,0,1,0.3367,0.5686,,0.2522,,Kansas City Chiefs,,,,0,
