game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_win_pct,home_win_pct,away_pyth_pct,home_pyth_pct,away_run_diff_pg,home_run_diff_pg,away_rs_pg,home_rs_pg,away_ra_pg,home_ra_pg,away_era,home_era,away_probable_starter,home_probable_starter,away_probable_id,home_probable_id,season_type,season_slug,game_start_utc,game_time
2026-07-27,Seattle Mariners,Texas Rangers,Final,Texas Rangers,Texas Rangers,0.438,0.562,401816288,3,7,52-55,54-52,0.465,0.497,0.457,0.473,-0.4,-0.25,4.05,4.16,4.45,4.41,4.21,4.28,George Kirby,Kumar Rocker,42406,4414525,2.0,regular-season,2026-07-27T18:35Z,2:35 PM ET
2026-07-27,Arizona Diamondbacks,Pittsburgh Pirates,Final,Pittsburgh Pirates,Arizona Diamondbacks,0.5031,0.4969,401816280,2,3,55-52,55-52,0.535,0.509,0.506,0.517,0.06,0.18,4.51,4.74,4.45,4.56,4.1,4.15,Merrill Kelly,Mitch Keller,32968,33722,2.0,regular-season,2026-07-27T22:40Z,6:40 PM ET
2026-07-27,Baltimore Orioles,Detroit Tigers,Final,Baltimore Orioles,Baltimore Orioles,0.5208,0.4792,401816282,8,5,52-55,50-57,0.491,0.465,0.483,0.548,-0.16,0.45,4.43,4.46,4.6,4.01,4.08,3.65,Kyle Bradish,Keider Montero,4311625,5182933,2.0,regular-season,2026-07-27T22:40Z,6:40 PM ET
2026-07-27,Philadelphia Phillies,Miami Marlins,Final,Miami Marlins,Philadelphia Phillies,0.5328,0.4672,401816284,7,8,57-50,53-54,0.547,0.491,0.516,0.502,0.15,0.02,4.43,4.43,4.28,4.41,4.01,4.1,Zack Wheeler,Tyler Phillips,31267,41247,2.0,regular-season,2026-07-27T22:40Z,6:40 PM ET
2026-07-27,Toronto Blue Jays,Washington Nationals,Final,Toronto Blue Jays,Toronto Blue Jays,0.5513,0.4487,401816285,3,2,49-58,54-53,0.484,0.472,0.467,0.505,-0.3,0.06,4.0,5.08,4.3,5.02,3.92,4.65,Max Scherzer,Eddy Yean,28976,4981345,2.0,regular-season,2026-07-27T22:45Z,6:45 PM ET
2026-07-27,Atlanta Braves,New York Mets,Final,New York Mets,Atlanta Braves,0.5956,0.4044,401816281,3,14,62-44,45-62,0.585,0.459,0.578,0.477,0.73,-0.22,4.6,4.29,3.87,4.51,3.62,4.14,Martin Perez,Zac Thornton,31098,5129576,2.0,regular-season,2026-07-27T23:10Z,7:10 PM ET
2026-07-27,New York Yankees,Chicago White Sox,Final,New York Yankees,New York Yankees,0.577,0.423,401816287,9,5,60-46,55-50,0.579,0.516,0.598,0.532,0.9,0.33,4.6,4.78,3.7,4.45,3.2,4.13,Max Fried,Noah Schultz,32685,5080754,2.0,regular-season,2026-07-27T23:40Z,7:40 PM ET
2026-07-27,Chicago Cubs,St. Louis Cardinals,Final,Chicago Cubs,St. Louis Cardinals,0.4888,0.5112,401816286,7,3,60-46,53-53,0.553,0.484,0.586,0.486,0.92,-0.14,5.29,4.47,4.37,4.6,4.15,4.24,David Peterson,Matthew Liberatore,40921,41173,2.0,regular-season,2026-07-27T23:45Z,7:45 PM ET
2026-07-27,Houston Astros,Los Angeles Angels,Final,Houston Astros,Houston Astros,0.5786,0.4214,401816290,6,4,53-55,42-65,0.497,0.384,0.468,0.44,-0.32,-0.57,4.45,4.03,4.77,4.6,4.5,4.26,Tatsuya Imai,Walbert Urena,5330833,5197476,2.0,regular-season,2026-07-28T01:38Z,9:38 PM ET
2026-07-27,Boston Red Sox,Athletics,Final,Boston Red Sox,Boston Red Sox,0.6564,0.3436,401816289,4,2,55-50,44-62,0.535,0.396,0.556,0.377,0.5,-1.38,4.28,4.35,3.79,5.72,3.55,5.44,Payton Tolle,Jack Perkins,4966140,4418686,2.0,regular-season,2026-07-28T01:40Z,9:40 PM ET
2026-07-27,Milwaukee Brewers,San Francisco Giants,Final,San Francisco Giants,Milwaukee Brewers,0.6907,0.3093,401816291,0,3,66-40,45-61,0.629,0.409,0.631,0.446,1.3,-0.53,5.13,4.18,3.82,4.71,3.52,4.36,Brandon Sproat,Tyler Mahle,4621041,34973,2.0,regular-season,2026-07-28T01:45Z,9:45 PM ET
2026-07-28,Cleveland Guardians,Cincinnati Reds,Final,Cleveland Guardians,Cleveland Guardians,0.5554,0.4446,401901849,6,5,55-53,49-56,0.522,0.465,0.502,0.402,0.02,-1.0,4.11,4.12,4.09,5.12,3.73,4.85,Slade Cecconi,Chase Burns,41462,4927516,2.0,regular-season,2026-07-28T17:40Z,1:40 PM ET
