game_date,away_team,home_team,status,winner,favored_team,away_win_probability,home_win_probability,game_id,away_score,home_score,away_record,home_record,away_win_pct,home_win_pct,away_ppg,home_ppg,away_opp_ppg,home_opp_ppg,away_net_rtg,home_net_rtg,away_pace,home_pace,rest_advantage,season_type,season_slug,game_start_utc,game_time
2026-10-03,Miami Heat,Toronto Raptors,Scheduled,,Toronto Raptors,0.4305,0.5695,401902644,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-03T23:00Z,7:00 PM ET
2026-10-04,Utah Jazz,Denver Nuggets,Scheduled,,Denver Nuggets,0.4305,0.5695,401914127,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-04T23:00Z,7:00 PM ET
2026-10-04,Golden State Warriors,LA Clippers,Scheduled,,LA Clippers,0.4305,0.5695,401918010,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-04T23:00Z,7:00 PM ET
2026-10-05,Memphis Grizzlies,Atlanta Hawks,Scheduled,,Atlanta Hawks,0.4305,0.5695,401898388,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-05T23:00Z,7:00 PM ET
2026-10-05,Phoenix Suns,Detroit Pistons,Scheduled,,Detroit Pistons,0.4305,0.5695,401908947,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-05T23:00Z,7:00 PM ET
2026-10-05,New York Knicks,Philadelphia 76ers,Scheduled,,Philadelphia 76ers,0.4305,0.5695,401914101,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-05T23:00Z,7:00 PM ET
2026-10-05,Minnesota Timberwolves,Milwaukee Bucks,Scheduled,,Milwaukee Bucks,0.4305,0.5695,401914102,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-06T00:00Z,8:00 PM ET
2026-10-05,Los Angeles Lakers,Sacramento Kings,Scheduled,,Sacramento Kings,0.4305,0.5695,401898716,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-06T02:00Z,10:00 PM ET
2026-10-06,Brooklyn Nets,Charlotte Hornets,Scheduled,,Charlotte Hornets,0.4305,0.5695,401901820,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-06T23:00Z,7:00 PM ET
2026-10-06,New Orleans Pelicans,Oklahoma City Thunder,Scheduled,,Oklahoma City Thunder,0.4305,0.5695,401898389,0,0,0-0,0-0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0,1.0,preseason,2026-10-07T00:00Z,8:00 PM ET
